LIFNR,NAME1,ORT01,ADRNR,PHONE
0000000001,Om Traders,Delhi,2001,9123456701
0000000002,Sharma Enterprises,Mumbai,2002,9123456702
0000000003,Gupta Suppliers,Pune,2003,9123456703
0000000004,Verma Pvt Ltd,Bangalore,2004,9123456704
0000000005,Singh Traders,Chandigarh,2005,9123456705
0000000006,Kapoor Enterprises,Hyderabad,2006,9123456706
0000000007,Mittal Suppliers,Jaipur,2007,9123456707
0000000008,Bansal Pvt Ltd,Kolkata,2008,9123456708
0000000009,Agarwal Traders,Ahmedabad,2009,9123456709
0000000010,Jain Enterprises,Noida,2010,9123456710
0000000011,Yadav Suppliers,Lucknow,2011,9123456711
0000000012,Chopra Pvt Ltd,Indore,2012,9123456712
0000000013,Saxena Traders,Nagpur,2013,9123456713
0000000014,Sethi Enterprises,Bhopal,2014,9123456714
0000000015,Mishra Suppliers,Patna,2015,9123456715
0000000016,Malhotra Pvt Ltd,Surat,2016,9123456716
0000000017,Tiwari Traders,Kanpur,2017,9123456717
0000000018,Chawla Enterprises,Agra,2018,9123456718
0000000019,Rajput Suppliers,Varanasi,2019,9123456719
0000000020,Khanna Pvt Ltd,Amritsar,2020,9123456720
0000000021,Sood Traders,Ludhiana,2021,9123456721
0000000022,Grover Enterprises,Guwahati,2022,9123456722
0000000023,Dubey Suppliers,Ranchi,2023,9123456723
0000000024,Arora Pvt Ltd,Dehradun,2024,9123456724
0000000025,Pandey Traders,Shimla,2025,9123456725
0000000026,Joshi Enterprises,Raipur,2026,9123456726
0000000027,Bhatt Suppliers,Bhubaneswar,2027,9123456727
0000000028,Rawat Pvt Ltd,Jodhpur,2028,9123456728
0000000029,Nair Traders,Mysore,2029,9123456729
0000000030,Iyer Enterprises,Coimbatore,2030,9123456730
0000000031,Pillai Suppliers,Visakhapatnam,2031,9123456731
0000000032,Reddy Pvt Ltd,Vijayawada,2032,9123456732
0000000033,Naidu Traders,Thane,2033,9123456733
0000000034,Shetty Enterprises,Nashik,2034,9123456734
0000000035,Patil Suppliers,Gwalior,2035,9123456735
0000000036,Deshmukh Pvt Ltd,Udaipur,2036,9123456736
0000000037,Shinde Traders,Meerut,2037,9123456737
0000000038,Salvi Enterprises,Ghaziabad,2038,9123456738
0000000039,More Suppliers,Faridabad,2039,9123456739
0000000040,Jadhav Pvt Ltd,Gurgaon,2040,9123456740
0000000041,Kulkarni Traders,Jamshedpur,2041,9123456741
0000000042,Gokhale Enterprises,Siliguri,2042,9123456742
0000000043,Chavan Suppliers,Aligarh,2043,9123456743
0000000044,Kadam Pvt Ltd,Bareilly,2044,9123456744
0000000045,Pawar Traders,Mathura,2045,9123456745
0000000046,Thakur Enterprises,Ajmer,2046,9123456746
0000000047,Rana Suppliers,Bilaspur,2047,9123456747
0000000048,Negi Pvt Ltd,Durg,2048,9123456748
0000000049,Chaudhary Traders,Panipat,2049,9123456749
0000000050,Bisht Enterprises,Karnal,2050,9123456750
